plant_id,gourd_type,variety_name,planting_date,days_since_planting,season,region_climate,avg_temperature,avg_humidity,avg_rainfall_mm,sunlight_hours,soil_ph,soil_moisture,soil_type,fertilizer_type,fertilizer_frequency,watering_frequency,plant_health_score,vine_length_cm,leaf_count,predicted_days_to_flower,actual_days_to_flower,male_flower_count,female_flower_count,is_hand_pollinated,pollinated_count,successful_pollinations,pollination_success_rate,days_to_pollination_result,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
PLT_00001,bitter_gourd,ampalaya_bilog,2025-10-16,43,wet,tropical_lowland,28.2,89.0,24.6,5.8,6.0,54.7,clay,chemical,biweekly,daily,4,174.7,26,43,41.0,14,5,0,4,0,0.426,3,49,0,,
PLT_00002,squash,kalabasa_hybrid,2024-08-26,87,wet,tropical_highland,28.6,75.8,22.2,4.4,6.2,61.0,loamy,chemical,none,daily,3,391.4,64,48,47.0,46,14,1,10,4,0.493,9,57,0,,
PLT_00003,bottle_gourd,upo_long,2024-06-08,75,wet,tropical_highland,29.6,73.4,11.3,6.8,7.2,74.3,loamy,organic,none,daily,4,580.3,92,44,41.0,44,16,1,12,9,0.637,4,58,0,,
PLT_00004,sponge_gourd,patola_ridged,2025-07-19,114,wet,tropical_highland,27.9,80.4,20.9,4.6,7.2,73.3,clay,chemical,weekly,daily,3,372.3,63,42,41.0,53,24,1,20,9,0.516,4,46,9,0.49,4.41
PLT_00005,sponge_gourd,patola,2025-04-09,64,dry,tropical_lowland,27.0,71.6,3.6,7.8,6.6,54.2,clay,mixed,biweekly,every_other_day,4,442.6,70,40,40.0,26,9,1,6,6,0.603,6,41,0,,
PLT_00006,sponge_gourd,patola_ridged,2025-01-23,34,dry,tropical_highland,24.7,61.2,3.3,9.2,6.7,76.6,sandy,mixed,weekly,daily,5,291.3,48,35,,0,0,1,0,0,0.624,9,49,0,,
PLT_00007,bottle_gourd,upo_round,2024-03-08,112,dry,subtropical,32.5,64.9,5.2,8.3,5.8,53.2,clay,chemical,none,twice_daily,3,525.6,92,48,49.0,59,25,0,22,8,0.424,7,62,8,1.57,12.56
PLT_00008,squash,kalabasa_native,2025-03-14,93,dry,subtropical,24.8,60.8,1.6,9.8,6.9,69.0,clay,chemical,biweekly,every_other_day,3,413.8,71,45,45.0,54,14,1,10,4,0.543,5,58,0,,
PLT_00009,bitter_gourd,ampalaya_oblong,2025-09-02,31,wet,subtropical,31.4,76.4,12.2,4.7,6.4,74.5,silty,none,monthly,every_other_day,2,72.3,10,48,,0,0,1,0,0,0.336,4,51,0,,
PLT_00010,sponge_gourd,patola_ridged,2025-07-03,50,wet,subtropical,29.1,84.1,17.3,6.9,7.1,57.6,clay,organic,monthly,twice_daily,4,257.0,43,35,32.0,22,11,0,9,7,0.572,5,53,0,,
PLT_00011,sponge_gourd,patola_ridged,2025-10-02,99,wet,tropical_lowland,26.3,75.6,28.2,4.7,6.0,64.7,sandy,chemical,monthly,daily,4,490.1,78,41,38.0,79,30,1,30,19,0.63,10,47,19,0.35,6.65
PLT_00012,sponge_gourd,patola,2025-01-06,92,dry,subtropical,33.2,61.4,1.9,7.1,6.6,70.3,loamy,chemical,weekly,daily,5,564.2,92,38,38.0,74,28,1,28,15,0.562,5,42,15,0.49,7.35
